text,parent_tag
html,[document]
GNews API: Simple News API for Developers,title
Documentation,button
Documentation,a
Libraries & SDKs,a
Pricing,a
Sources,a
Support,button
Contact,a
FAQ,a
Sign in,a
Register,a
Documentation,a
Libraries & SDKs,a
Pricing,a
Sources,a
Contact,a
FAQ,a
Sign in,a
Register,a
Simple News API for Developers,h1
"Search articles from over 80,000 sources worldwide. Get real-time news and up to 6 years of historical data in JSON format. Start for free.",h2
Get API key,a
Try GNews API,h2
Search,button
{,pre
"""totalArticles"":",span
0,span
",",pre
"""articles"":",span
"[]
}",pre
"* Search results are in English and US sources only. For other languages/regions, see documentation at",p
docs.gnews.io,a
.,p
"Trusted by more than 100,000 developers, including at",h2
Easy-to-use,h3
"Our comprehensive documentation provides clear, step-by-step guidance for seamless API integration into your applications.",p
Start for free,h3
"Build and test your applications at no cost during development. When you're ready to deploy to production, you can activate your subscription in minutes.",p
Fast and accurate response,h3
"By indexing news articles in our database, we achieve minimal latency and maximize search result relevance.",p
A powerful tool for all your projects,h2
Access a global news database with live updates and extensive historical archives to fuel your specific business applications and use cases.,p
Worldwide scale,h3
"Our database features over 100 million articles from over 80,000 trusted sources in 41 languages across 71 countries. Use our filters to search by language or source country for precise global media coverage.",p
News articles data,h3
"We use advanced extraction techniques to capture complete article attributes. Data quality is our highest priority, and we implement rigorous processes to maintain superior standards.",p
Historical data,h3
"Our database maintains a permanent archive of all indexed articles, providing access to years of historical data. Our data coverage spans from 2020 to present.",p
Live news articles,h3
Our continuous crawling system automatically retrieves new articles from all covered sources. Articles are immediately indexed and made available through the API upon discovery.,p
Response performance,h3
"API response time is a critical priority for us, and we continuously optimize our infrastructure to ensure minimal latency for all requests.",p
Easy integration,h3
"Retrieve API results in JSON format through standard HTTP GET requests from any programming language. Integration is straightforward: send a request, receive results, parse the JSON response, and implement the data in your application.",p
Having difficulties integrating the API?,p
Contact us,a
Libraries & SDKs,h3
"Experience seamless API integration with our official libraries and SDKs, featuring comprehensive documentation and ready-to-use code examples.",p
Discover the libraries,a
Missing Sources?,h3
"Help us expand our global news coverage. If you know of a reliable news website that isn't yet included in GNews API, we welcome your suggestions. Community contributions help us maintain a diverse, accurate, and up-to-date news database.",p
Add missing sources,a
Student Access,h3
Are you a student working on a project or thesis? We offer free access to the GNews API for academic use. Submit your request and get started with real-world news data for your learning goals.,p
Request access,a
Advanced Request Options,h2
Design complex queries logically using search operators. Specify the context of your query with many easy-to-use optional parameters.,p
Search operators,h3
"Perform advanced searches using search operators such as AND, OR, and NOT to combine, separate, and exclude keywords.",p
Go to documentation,a
Access full content,h3
